time=0.000000 en=3.33313935e+04 E_p=-1.05483665e+04 E_k=1.94859499e+03 E_x=2.12591225e+00 P=-3.75761047e+02 V=3.33966688e+04
Corr_Energy     (0.000000)	          -4.38797600e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.94859499e+03	1.94859499e+03
Self_Energy     (0.000000)	-4.38633837e+04	-4.38633837e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.13694576e+01	1.13694576e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	6.71796812e+00	6.71796812e+00
far_exclusion   (0.000000)	4.34910522e+04	4.34910522e+04
far_terms       (0.000000)	1.50708406e+01	1.50708406e+01
nonbonded_elec  (0.000000)	-1.17700335e+04	-1.17700335e+04
nonbonded_vdw   (0.000000)	1.54190640e+03	1.54190640e+03
pair_elec       (0.000000)	3.00561504e+01	3.00561504e+01
pair_vdw        (0.000000)	2.50768031e+00	2.50768031e+00
stretch         (0.000000)	2.74612212e+00	2.74612212e+00
Total           (0.000000)	3.33313933e+04	3.33313933e+04
time=0.000500 en=3.33299271e+04 E_p=-1.05498329e+04 E_k=1.95009735e+03 E_x=2.12591225e+00 P=-3.82950596e+02 V=3.33966688e+04
Corr_Energy     (0.000500)	          -4.38797600e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.95009735e+03	1.95009735e+03
Self_Energy     (0.000500)	-4.38633837e+04	-4.38633837e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.16350819e+01	1.16350819e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	6.54041716e+00	6.54041716e+00
far_exclusion   (0.000500)	4.34910668e+04	4.34910668e+04
far_terms       (0.000500)	1.50379656e+01	1.50379656e+01
nonbonded_elec  (0.000500)	-1.17713518e+04	-1.17713518e+04
nonbonded_vdw   (0.000500)	1.54147409e+03	1.54147409e+03
pair_elec       (0.000500)	3.00217476e+01	3.00217476e+01
pair_vdw        (0.000500)	2.50853086e+00	2.50853086e+00
stretch         (0.000500)	2.99429181e+00	2.99429181e+00
Total           (0.000500)	3.33299270e+04	3.33299270e+04
