microstate ID,canonical isomeric SMILES,canonical SMILES
SM18_micro001,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)/[NH+]=C/3\N=CC(S3)Cc4ccc(c(c4)F)F,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)[NH+]=C3N=CC(S3)Cc4ccc(c(c4)F)F
SM18_micro002,c1ccc2c(c1)c(=O)[n-]c([nH+]2)CCC(=O)Nc3ncc(s3)Cc4ccc(c(c4)F)F,c1ccc2c(c1)c(=O)[n-]c([nH+]2)CCC(=O)Nc3ncc(s3)Cc4ccc(c(c4)F)F
SM18_micro003,c1ccc2c(c1)c(=O)nc([nH]2)C/C=C(/Nc3[nH+]cc(s3)Cc4ccc(c(c4)F)F)\[O-],c1ccc2c(c1)c(=O)nc([nH]2)CC=C(Nc3[nH+]cc(s3)Cc4ccc(c(c4)F)F)[O-]
SM18_micro004,c1ccc2c(c1)c(=O)nc([nH]2)CCC(=O)[NH+]=c3[nH]cc(s3)Cc4ccc(c(c4)F)F,c1ccc2c(c1)c(=O)nc([nH]2)CCC(=O)[NH+]=c3[nH]cc(s3)Cc4ccc(c(c4)F)F
SM18_micro005,c1ccc2c(c1)c(=O)nc([nH]2)CC/C(=N/c3ncc(s3)Cc4ccc(c(c4)F)F)/[O-],c1ccc2c(c1)c(=O)nc([nH]2)CCC(=Nc3ncc(s3)Cc4ccc(c(c4)F)F)[O-]
SM18_micro007,c1ccc2c(c1)c(=O)[nH+]c([nH]2)C/C=C(/Nc3ncc(s3)Cc4ccc(c(c4)F)F)\[O-],c1ccc2c(c1)c(=O)[nH+]c([nH]2)CC=C(Nc3ncc(s3)Cc4ccc(c(c4)F)F)[O-]
SM18_micro009,c1ccc2c(c1)c(=O)nc([nH]2)CCC(=O)/N=C\3/N=CC(S3)Cc4ccc(c(c4)F)F,c1ccc2c(c1)c(=O)nc([nH]2)CCC(=O)N=C3N=CC(S3)Cc4ccc(c(c4)F)F
SM18_micro010,c1ccc2c(c1)c(=O)nc([nH]2)CCC(=O)/N=C/3\[NH+]=CC(S3)Cc4ccc(c(c4)F)F,c1ccc2c(c1)c(=O)nc([nH]2)CCC(=O)N=C3[NH+]=CC(S3)Cc4ccc(c(c4)F)F
SM18_micro011,c1ccc2c(c1)c(nc(n2)CCC(=O)/N=C/3\N=CC(S3)Cc4ccc(c(c4)F)F)[O-],c1ccc2c(c1)c(nc(n2)CCC(=O)N=C3N=CC(S3)Cc4ccc(c(c4)F)F)[O-]
SM18_micro013,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)/N=C/3\N=CC(S3)Cc4ccc(c(c4)F)F,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)N=C3N=CC(S3)Cc4ccc(c(c4)F)F
