time=0.000000 en=3.28913286e+04 E_p=-1.04245400e+04 E_k=1.89790137e+03 E_x=1.96113711e+00 P=1.59267603e+02 V=3.29604678e+04
Corr_Energy     (0.000000)	          -4.33158687e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.89790137e+03	1.89790137e+03
Self_Energy     (0.000000)	-4.32997399e+04	-4.32997399e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	6.75250961e+00	6.75250961e+00
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	5.87677396e+00	5.87677396e+00
far_exclusion   (0.000000)	4.29377846e+04	4.29377846e+04
far_terms       (0.000000)	1.62137681e+01	1.62137681e+01
nonbonded_elec  (0.000000)	-1.16850337e+04	-1.16850337e+04
nonbonded_vdw   (0.000000)	1.59267397e+03	1.59267397e+03
pair_elec       (0.000000)	1.21881009e+01	1.21881009e+01
pair_vdw        (0.000000)	2.85359607e+00	2.85359607e+00
stretch         (0.000000)	2.01899474e+00	2.01899474e+00
Total           (0.000000)	3.28913287e+04	3.28913287e+04
time=0.000500 en=3.28944037e+04 E_p=-1.04214650e+04 E_k=1.89485658e+03 E_x=1.96113711e+00 P=1.72389217e+02 V=3.29604678e+04
Corr_Energy     (0.000500)	          -4.33158687e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.89485658e+03	1.89485658e+03
Self_Energy     (0.000500)	-4.32997399e+04	-4.32997399e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	6.96772041e+00	6.96772041e+00
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	5.96422860e+00	5.96422860e+00
far_exclusion   (0.000500)	4.29377804e+04	4.29377804e+04
far_terms       (0.000500)	1.61489527e+01	1.61489527e+01
nonbonded_elec  (0.000500)	-1.16846815e+04	-1.16846815e+04
nonbonded_vdw   (0.000500)	1.59465467e+03	1.59465467e+03
pair_elec       (0.000500)	1.21928305e+01	1.21928305e+01
pair_vdw        (0.000500)	2.84543511e+00	2.84543511e+00
stretch         (0.000500)	2.53088267e+00	2.53088267e+00
Total           (0.000500)	3.28944037e+04	3.28944037e+04
