time=0.000000 en=8.00119976e+04 E_p=-2.69574111e+04 E_k=4.82231724e+03 E_x=8.91462919e-01 P=-1.38095424e+02 V=8.13973786e+04
Corr_Energy     (0.000000)	          -1.06969409e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.82231724e+03	4.82231724e+03
Self_Energy     (0.000000)	-1.06926623e+05	-1.06926623e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.03380150e+02	1.03380150e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.26056707e+02	1.26056707e+02
far_exclusion   (0.000000)	1.05427372e+05	1.05427372e+05
far_terms       (0.000000)	3.62470638e+01	3.62470638e+01
nonbonded_elec  (0.000000)	-2.97148002e+04	-2.97148002e+04
nonbonded_vdw   (0.000000)	3.81244708e+03	3.81244708e+03
pair_elec       (0.000000)	9.09330429e+01	9.09330429e+01
pair_vdw        (0.000000)	7.32805964e+01	7.32805964e+01
stretch         (0.000000)	5.70822535e+01	5.70822535e+01
Total           (0.000000)	8.00119982e+04	8.00119982e+04
time=0.000500 en=8.00142089e+04 E_p=-2.69551998e+04 E_k=4.82013940e+03 E_x=8.91462919e-01 P=-1.44023849e+02 V=8.13973786e+04
Corr_Energy     (0.000500)	          -1.06969409e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.82013940e+03	4.82013940e+03
Self_Energy     (0.000500)	-1.06926623e+05	-1.06926623e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.03740340e+02	1.03740340e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.25729550e+02	1.25729550e+02
far_exclusion   (0.000500)	1.05427304e+05	1.05427304e+05
far_terms       (0.000500)	3.62065992e+01	3.62065992e+01
nonbonded_elec  (0.000500)	-2.97154685e+04	-2.97154685e+04
nonbonded_vdw   (0.000500)	3.81318481e+03	3.81318481e+03
pair_elec       (0.000500)	9.11704498e+01	9.11704498e+01
pair_vdw        (0.000500)	7.30629592e+01	7.30629592e+01
stretch         (0.000500)	5.92778115e+01	5.92778115e+01
Total           (0.000500)	8.00142083e+04	8.00142083e+04
