microstate ID 1,microstate ID 2
SM07_micro006,SM07_micro002
SM07_micro002,SM07_micro012
SM07_micro007,SM07_micro003
SM07_micro003,SM07_micro012
SM07_micro006,SM07_micro004
SM07_micro007,SM07_micro004
SM07_micro011,SM07_micro004
SM07_micro004,SM07_micro012
SM07_micro013,SM07_micro006
SM07_micro014,SM07_micro006
SM07_micro014,SM07_micro007
SM07_micro015,SM07_micro007
SM07_micro013,SM07_micro011
SM07_micro015,SM07_micro011
SM07_micro016,SM07_micro013
SM07_micro016,SM07_micro014
SM07_micro016,SM07_micro015
