time=0.000000 en=5.42603811e+04 E_p=-1.70573140e+04 E_k=3.20357055e+03 E_x=1.93340123e-01 P=-2.41054948e+02 V=5.44079154e+04
Corr_Energy     (0.000000)	          -7.13176951e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	3.20357055e+03	3.20357055e+03
Self_Energy     (0.000000)	-7.12907560e+04	-7.12907560e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.55385485e+01	2.55385485e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	9.31716060e+00	9.31716060e+00
far_exclusion   (0.000000)	7.06803321e+04	7.06803321e+04
far_terms       (0.000000)	2.88966470e+01	2.88966470e+01
nonbonded_elec  (0.000000)	-1.90742179e+04	-1.90742179e+04
nonbonded_vdw   (0.000000)	2.49680798e+03	2.49680798e+03
pair_elec       (0.000000)	7.61777653e+01	7.61777653e+01
pair_vdw        (0.000000)	8.39557940e+00	8.39557940e+00
stretch         (0.000000)	9.13305463e+00	9.13305463e+00
Total           (0.000000)	5.42603809e+04	5.42603809e+04
time=0.000500 en=5.42603767e+04 E_p=-1.70573184e+04 E_k=3.20361197e+03 E_x=1.93340123e-01 P=-2.40007502e+02 V=5.44079154e+04
Corr_Energy     (0.000500)	          -7.13176951e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	3.20361197e+03	3.20361197e+03
Self_Energy     (0.000500)	-7.12907560e+04	-7.12907560e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.57685500e+01	2.57685500e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	9.28361126e+00	9.28361126e+00
far_exclusion   (0.000500)	7.06803408e+04	7.06803408e+04
far_terms       (0.000500)	2.89367411e+01	2.89367411e+01
nonbonded_elec  (0.000500)	-1.90755398e+04	-1.90755398e+04
nonbonded_vdw   (0.000500)	2.49737945e+03	2.49737945e+03
pair_elec       (0.000500)	7.60334102e+01	7.60334102e+01
pair_vdw        (0.000500)	8.36064556e+00	8.36064556e+00
stretch         (0.000500)	9.81281036e+00	9.81281036e+00
Total           (0.000500)	5.42603762e+04	5.42603762e+04
