time=0.000000 en=3.06674316e+04 E_p=-9.69247842e+03 E_k=1.82145823e+03 E_x=5.04547508e-01 P=3.49920496e+02 V=3.07110909e+04
Corr_Energy     (0.000000)	          -4.03599101e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.82145823e+03	1.82145823e+03
Self_Energy     (0.000000)	-4.03446412e+04	-4.03446412e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.77549825e+01	1.77549825e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.51972711e+01	1.51972711e+01
far_exclusion   (0.000000)	4.00903262e+04	4.00903262e+04
far_terms       (0.000000)	1.95219237e+01	1.95219237e+01
nonbonded_elec  (0.000000)	-1.08239165e+04	-1.08239165e+04
nonbonded_vdw   (0.000000)	1.47758469e+03	1.47758469e+03
pair_elec       (0.000000)	-1.44036244e+02	-1.44036244e+02
pair_vdw        (0.000000)	1.02687241e+01	1.02687241e+01
stretch         (0.000000)	4.73082335e+00	4.73082335e+00
Total           (0.000000)	3.06674318e+04	3.06674318e+04
time=0.000500 en=3.06688611e+04 E_p=-9.69104896e+03 E_k=1.82004594e+03 E_x=5.04547508e-01 P=3.52692020e+02 V=3.07110909e+04
Corr_Energy     (0.000500)	          -4.03599101e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.82004594e+03	1.82004594e+03
Self_Energy     (0.000500)	-4.03446412e+04	-4.03446412e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.82030936e+01	1.82030936e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.51956764e+01	1.51956764e+01
far_exclusion   (0.000500)	4.00903335e+04	4.00903335e+04
far_terms       (0.000500)	1.95943665e+01	1.95943665e+01
nonbonded_elec  (0.000500)	-1.08222367e+04	-1.08222367e+04
nonbonded_vdw   (0.000500)	1.47657784e+03	1.47657784e+03
pair_elec       (0.000500)	-1.44146264e+02	-1.44146264e+02
pair_vdw        (0.000500)	1.03057345e+01	1.03057345e+01
stretch         (0.000500)	5.03413883e+00	5.03413883e+00
Total           (0.000500)	3.06688613e+04	3.06688613e+04
