time=0.000000 en=7.01692120e+04 E_p=-2.20758740e+04 E_k=4.10710739e+03 E_x=6.55913023e-01 P=1.51742766e+02 V=6.99426664e+04
Corr_Energy     (0.000000)	          -9.22450860e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.10710739e+03	4.10710739e+03
Self_Energy     (0.000000)	-9.22101100e+04	-9.22101100e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	3.45736778e+01	3.45736778e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	2.20121965e+01	2.20121965e+01
far_exclusion   (0.000000)	9.14708970e+04	9.14708970e+04
far_terms       (0.000000)	3.14342499e+01	3.14342499e+01
nonbonded_elec  (0.000000)	-2.47868612e+04	-2.47868612e+04
nonbonded_vdw   (0.000000)	3.32654237e+03	3.32654237e+03
pair_elec       (0.000000)	5.08253155e+01	5.08253155e+01
pair_vdw        (0.000000)	1.30043794e+01	1.30043794e+01
stretch         (0.000000)	6.78379699e+00	6.78379699e+00
Total           (0.000000)	7.01692118e+04	7.01692118e+04
time=0.000500 en=7.01708989e+04 E_p=-2.20741871e+04 E_k=4.10548246e+03 E_x=6.55913023e-01 P=1.38301043e+02 V=6.99426664e+04
Corr_Energy     (0.000500)	          -9.22450860e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.10548246e+03	4.10548246e+03
Self_Energy     (0.000500)	-9.22101100e+04	-9.22101100e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	3.41275452e+01	3.41275452e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	2.22445792e+01	2.22445792e+01
far_exclusion   (0.000500)	9.14708766e+04	9.14708766e+04
far_terms       (0.000500)	3.14417434e+01	3.14417434e+01
nonbonded_elec  (0.000500)	-2.47862957e+04	-2.47862957e+04
nonbonded_vdw   (0.000500)	3.32654249e+03	3.32654249e+03
pair_elec       (0.000500)	5.09523284e+01	5.09523284e+01
pair_vdw        (0.000500)	1.30308268e+01	1.30308268e+01
stretch         (0.000500)	7.97802040e+00	7.97802040e+00
Total           (0.000500)	7.01708984e+04	7.01708984e+04
