time=0.000000 en=3.64292675e+04 E_p=-1.17230227e+04 E_k=2.15555312e+03 E_x=2.17229977e+00 P=-1.53762272e+02 V=3.65111438e+04
Corr_Energy     (0.000000)	          -4.81522902e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	2.15555312e+03	2.15555312e+03
Self_Energy     (0.000000)	-4.81339971e+04	-4.81339971e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.35263280e+01	2.35263280e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.15796832e+01	1.15796832e+01
far_exclusion   (0.000000)	4.77003167e+04	4.77003167e+04
far_terms       (0.000000)	1.79621283e+01	1.79621283e+01
nonbonded_elec  (0.000000)	-1.30284263e+04	-1.30284263e+04
nonbonded_vdw   (0.000000)	1.71564702e+03	1.71564702e+03
pair_elec       (0.000000)	-2.25623097e+01	-2.25623097e+01
pair_vdw        (0.000000)	4.06533652e+00	4.06533652e+00
stretch         (0.000000)	7.15947682e+00	7.15947682e+00
Total           (0.000000)	3.64292680e+04	3.64292680e+04
time=0.000500 en=3.64301567e+04 E_p=-1.17221335e+04 E_k=2.15465680e+03 E_x=2.17229977e+00 P=-1.70462346e+02 V=3.65111438e+04
Corr_Energy     (0.000500)	          -4.81522902e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	2.15465680e+03	2.15465680e+03
Self_Energy     (0.000500)	-4.81339971e+04	-4.81339971e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.32459166e+01	2.32459166e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.15897643e+01	1.15897643e+01
far_exclusion   (0.000500)	4.77003223e+04	4.77003223e+04
far_terms       (0.000500)	1.77909494e+01	1.77909494e+01
nonbonded_elec  (0.000500)	-1.30271589e+04	-1.30271589e+04
nonbonded_vdw   (0.000500)	1.71532146e+03	1.71532146e+03
pair_elec       (0.000500)	-2.26580417e+01	-2.26580417e+01
pair_vdw        (0.000500)	4.05589271e+00	4.05589271e+00
stretch         (0.000500)	7.64729184e+00	7.64729184e+00
Total           (0.000500)	3.64301566e+04	3.64301566e+04
