time=0.000000 en=8.18723838e+04 E_p=-2.74369614e+04 E_k=4.96703992e+03 E_x=7.29881081e-01 P=-3.62659075e+01 V=8.29773619e+04
Corr_Energy     (0.000000)	          -1.09309345e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.96703992e+03	4.96703992e+03
Self_Energy     (0.000000)	-1.09265598e+05	-1.09265598e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.09067199e+02	1.09067199e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.40529193e+02	1.40529193e+02
far_exclusion   (0.000000)	1.07760064e+05	1.07760064e+05
far_terms       (0.000000)	3.87948642e+01	3.87948642e+01
nonbonded_elec  (0.000000)	-3.02157944e+04	-3.02157944e+04
nonbonded_vdw   (0.000000)	3.84149965e+03	3.84149965e+03
pair_elec       (0.000000)	7.34070929e+01	7.34070929e+01
pair_vdw        (0.000000)	7.88141872e+01	7.88141872e+01
stretch         (0.000000)	4.60020482e+01	4.60020482e+01
Total           (0.000000)	8.18723840e+04	8.18723840e+04
time=0.000500 en=8.18784428e+04 E_p=-2.74309023e+04 E_k=4.96107250e+03 E_x=7.29881081e-01 P=-6.36446186e+01 V=8.29773619e+04
Corr_Energy     (0.000500)	          -1.09309345e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.96107250e+03	4.96107250e+03
Self_Energy     (0.000500)	-1.09265598e+05	-1.09265598e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.10249245e+02	1.10249245e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.40135568e+02	1.40135568e+02
far_exclusion   (0.000500)	1.07760062e+05	1.07760062e+05
far_terms       (0.000500)	3.89526337e+01	3.89526337e+01
nonbonded_elec  (0.000500)	-3.02143991e+04	-3.02143991e+04
nonbonded_vdw   (0.000500)	3.84261092e+03	3.84261092e+03
pair_elec       (0.000500)	7.35767301e+01	7.35767301e+01
pair_vdw        (0.000500)	7.88565171e+01	7.88565171e+01
stretch         (0.000500)	4.83980790e+01	4.83980790e+01
Total           (0.000500)	8.18784428e+04	8.18784428e+04
