time=0.000000 en=8.01027460e+04 E_p=-2.68707444e+04 E_k=4.83320149e+03 E_x=8.91463033e-01 P=3.00921518e+01 V=8.14873748e+04
Corr_Energy     (0.000000)	          -1.06973490e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.83320149e+03	4.83320149e+03
Self_Energy     (0.000000)	-1.06930753e+05	-1.06930753e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.11537901e+02	1.11537901e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.35427366e+02	1.35427366e+02
far_exclusion   (0.000000)	1.05443813e+05	1.05443813e+05
far_terms       (0.000000)	3.70018595e+01	3.70018595e+01
nonbonded_elec  (0.000000)	-2.95918379e+04	-2.95918379e+04
nonbonded_vdw   (0.000000)	3.77183823e+03	3.77183823e+03
pair_elec       (0.000000)	6.64881755e+01	6.64881755e+01
pair_vdw        (0.000000)	8.14930363e+01	8.14930363e+01
stretch         (0.000000)	4.69858005e+01	4.69858005e+01
Total           (0.000000)	8.01027470e+04	8.01027470e+04
time=0.000500 en=8.01106004e+04 E_p=-2.68628900e+04 E_k=4.82539329e+03 E_x=8.91463033e-01 P=2.00416487e+01 V=8.14873748e+04
Corr_Energy     (0.000500)	          -1.06973490e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.82539329e+03	4.82539329e+03
Self_Energy     (0.000500)	-1.06930753e+05	-1.06930753e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.12540394e+02	1.12540394e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.34786649e+02	1.34786649e+02
far_exclusion   (0.000500)	1.05443778e+05	1.05443778e+05
far_terms       (0.000500)	3.71372854e+01	3.71372854e+01
nonbonded_elec  (0.000500)	-2.95872304e+04	-2.95872304e+04
nonbonded_vdw   (0.000500)	3.77338350e+03	3.77338350e+03
pair_elec       (0.000500)	6.66879027e+01	6.66879027e+01
pair_vdw        (0.000500)	8.14104975e+01	8.14104975e+01
stretch         (0.000500)	4.81061570e+01	4.81061570e+01
Total           (0.000500)	8.01105999e+04	8.01105999e+04
