time=0.000000 en=8.17845388e+04 E_p=-2.74841733e+04 E_k=4.98645638e+03 E_x=7.44202112e-01 P=3.64647163e+02 V=8.25557441e+04
Corr_Energy     (0.000000)	          -1.09268712e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.98645638e+03	4.98645638e+03
Self_Energy     (0.000000)	-1.09224590e+05	-1.09224590e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.20301259e+02	1.20301259e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.41822025e+02	1.41822025e+02
far_exclusion   (0.000000)	1.07730155e+05	1.07730155e+05
far_terms       (0.000000)	3.82967710e+01	3.82967710e+01
nonbonded_elec  (0.000000)	-3.03969747e+04	-3.03969747e+04
nonbonded_vdw   (0.000000)	3.97067138e+03	3.97067138e+03
pair_elec       (0.000000)	5.13928269e+01	5.13928269e+01
pair_vdw        (0.000000)	7.44952178e+01	7.44952178e+01
stretch         (0.000000)	5.43792041e+01	5.43792041e+01
Total           (0.000000)	8.17845390e+04	8.17845390e+04
time=0.000500 en=8.17814045e+04 E_p=-2.74873077e+04 E_k=4.98960067e+03 E_x=7.44202112e-01 P=3.54194355e+02 V=8.25557441e+04
Corr_Energy     (0.000500)	          -1.09268712e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.98960067e+03	4.98960067e+03
Self_Energy     (0.000500)	-1.09224590e+05	-1.09224590e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.20498554e+02	1.20498554e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.41383722e+02	1.41383722e+02
far_exclusion   (0.000500)	1.07730153e+05	1.07730153e+05
far_terms       (0.000500)	3.85520444e+01	3.85520444e+01
nonbonded_elec  (0.000500)	-3.03977680e+04	-3.03977680e+04
nonbonded_vdw   (0.000500)	3.96800608e+03	3.96800608e+03
pair_elec       (0.000500)	5.13512081e+01	5.13512081e+01
pair_vdw        (0.000500)	7.45119594e+01	7.45119594e+01
stretch         (0.000500)	5.47163575e+01	5.47163575e+01
Total           (0.000500)	8.17814050e+04	8.17814050e+04
