time=0.000000 en=6.56476325e+04 E_p=-2.18424990e+04 E_k=3.94367700e+03 E_x=9.34653112e-01 P=-1.16310407e+02 V=6.66656388e+04
Corr_Energy     (0.000000)	          -8.74901315e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	3.94367700e+03	3.94367700e+03
Self_Energy     (0.000000)	-8.74550627e+04	-8.74550627e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.41324471e+02	2.41324471e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.21517890e+02	1.21517890e+02
far_exclusion   (0.000000)	8.79960362e+04	8.79960362e+04
far_terms       (0.000000)	3.68528699e+01	3.68528699e+01
nonbonded_elec  (0.000000)	-2.28968467e+04	-2.28968467e+04
nonbonded_vdw   (0.000000)	2.92386705e+03	2.92386705e+03
pair_elec       (0.000000)	-2.83541299e+03	-2.83541299e+03
pair_vdw        (0.000000)	2.11905654e+01	2.11905654e+01
stretch         (0.000000)	3.91029970e+01	3.91029970e+01
Total           (0.000000)	6.56476323e+04	6.56476323e+04
time=0.000500 en=6.56471557e+04 E_p=-2.18429758e+04 E_k=3.94419651e+03 E_x=9.34653112e-01 P=-1.19457422e+02 V=6.66656388e+04
Corr_Energy     (0.000500)	          -8.74901315e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	3.94419651e+03	3.94419651e+03
Self_Energy     (0.000500)	-8.74550627e+04	-8.74550627e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.42379585e+02	2.42379585e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.21190851e+02	1.21190851e+02
far_exclusion   (0.000500)	8.79960120e+04	8.79960120e+04
far_terms       (0.000500)	3.68585081e+01	3.68585081e+01
nonbonded_elec  (0.000500)	-2.28979965e+04	-2.28979965e+04
nonbonded_vdw   (0.000500)	2.92285810e+03	2.92285810e+03
pair_elec       (0.000500)	-2.83549810e+03	-2.83549810e+03
pair_vdw        (0.000500)	2.11676270e+01	2.11676270e+01
stretch         (0.000500)	4.01840412e+01	4.01840412e+01
Total           (0.000500)	6.56471561e+04	6.56471561e+04
