time=0.000000 en=4.91305151e+04 E_p=-1.56070864e+04 E_k=2.90078181e+03 E_x=1.11202159e+00 P=2.01357773e+02 V=4.92099053e+04
Corr_Energy     (0.000000)	          -6.47376014e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	2.90078181e+03	2.90078181e+03
Self_Energy     (0.000000)	-6.47130242e+04	-6.47130242e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.10868944e+01	2.10868944e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	2.38761308e+01	2.38761308e+01
far_exclusion   (0.000000)	6.41478298e+04	6.41478298e+04
far_terms       (0.000000)	2.11518043e+01	2.11518043e+01
nonbonded_elec  (0.000000)	-1.75342484e+04	-1.75342484e+04
nonbonded_vdw   (0.000000)	2.36752937e+03	2.36752937e+03
pair_elec       (0.000000)	5.87923108e+01	5.87923108e+01
pair_vdw        (0.000000)	1.92090142e+01	1.92090142e+01
stretch         (0.000000)	5.28819734e+00	5.28819734e+00
Total           (0.000000)	4.91305151e+04	4.91305151e+04
time=0.000500 en=4.91342824e+04 E_p=-1.56033190e+04 E_k=2.89703043e+03 E_x=1.11202159e+00 P=2.22740580e+02 V=4.92099053e+04
Corr_Energy     (0.000500)	          -6.47376014e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	2.89703043e+03	2.89703043e+03
Self_Energy     (0.000500)	-6.47130242e+04	-6.47130242e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.10462316e+01	2.10462316e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	2.40522641e+01	2.40522641e+01
far_exclusion   (0.000500)	6.41478182e+04	6.41478182e+04
far_terms       (0.000500)	2.12737513e+01	2.12737513e+01
nonbonded_elec  (0.000500)	-1.75333556e+04	-1.75333556e+04
nonbonded_vdw   (0.000500)	2.36961910e+03	2.36961910e+03
pair_elec       (0.000500)	5.89461713e+01	5.89461713e+01
pair_vdw        (0.000500)	1.92358064e+01	1.92358064e+01
stretch         (0.000500)	5.64656324e+00	5.64656324e+00
Total           (0.000500)	4.91342826e+04	4.91342826e+04
