time=0.000000 en=6.59856190e+04 E_p=-2.19791426e+04 E_k=3.95837152e+03 E_x=1.13140870e+00 P=3.11832375e+02 V=6.68611505e+04
Corr_Energy     (0.000000)	          -8.79647616e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	3.95837152e+03	3.95837152e+03
Self_Energy     (0.000000)	-8.79290963e+04	-8.79290963e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.31361476e+02	2.31361476e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.10409163e+02	1.10409163e+02
far_exclusion   (0.000000)	8.84618539e+04	8.84618539e+04
far_terms       (0.000000)	3.35198840e+01	3.35198840e+01
nonbonded_elec  (0.000000)	-2.32426068e+04	-2.32426068e+04
nonbonded_vdw   (0.000000)	3.09578506e+03	3.09578506e+03
pair_elec       (0.000000)	-2.78531664e+03	-2.78531664e+03
pair_vdw        (0.000000)	3.20727683e+01	3.20727683e+01
stretch         (0.000000)	4.85399080e+01	4.85399080e+01
Total           (0.000000)	6.59856187e+04	6.59856187e+04
time=0.000500 en=6.59861550e+04 E_p=-2.19786066e+04 E_k=3.95785395e+03 E_x=1.13140870e+00 P=2.82154579e+02 V=6.68611505e+04
Corr_Energy     (0.000500)	          -8.79647616e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	3.95785395e+03	3.95785395e+03
Self_Energy     (0.000500)	-8.79290963e+04	-8.79290963e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.31034512e+02	2.31034512e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.10049720e+02	1.10049720e+02
far_exclusion   (0.000500)	8.84618803e+04	8.84618803e+04
far_terms       (0.000500)	3.36748182e+01	3.36748182e+01
nonbonded_elec  (0.000500)	-2.32454617e+04	-2.32454617e+04
nonbonded_vdw   (0.000500)	3.09730171e+03	3.09730171e+03
pair_elec       (0.000500)	-2.78545376e+03	-2.78545376e+03
pair_vdw        (0.000500)	3.18659283e+01	3.18659283e+01
stretch         (0.000500)	5.12637721e+01	5.12637721e+01
Total           (0.000500)	6.59861552e+04	6.59861552e+04
