time=0.000000 en=6.63680532e+04 E_p=-2.19308271e+04 E_k=3.96439089e+03 E_x=8.71591319e-01 P=6.07658935e+01 V=6.72333875e+04
Corr_Energy     (0.000000)	          -8.82988803e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	3.96439089e+03	3.96439089e+03
Self_Energy     (0.000000)	-8.82631211e+04	-8.82631211e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.28585781e+02	2.28585781e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.14503382e+02	1.14503382e+02
far_exclusion   (0.000000)	8.87605010e+04	8.87605010e+04
far_terms       (0.000000)	3.44520910e+01	3.44520910e+01
nonbonded_elec  (0.000000)	-2.30905313e+04	-2.30905313e+04
nonbonded_vdw   (0.000000)	2.98706830e+03	2.98706830e+03
pair_elec       (0.000000)	-2.73357473e+03	-2.73357473e+03
pair_vdw        (0.000000)	3.05160645e+01	3.05160645e+01
stretch         (0.000000)	3.65327291e+01	3.65327291e+01
Total           (0.000000)	6.63680533e+04	6.63680533e+04
time=0.000500 en=6.63682919e+04 E_p=-2.19305884e+04 E_k=3.96415001e+03 E_x=8.71591319e-01 P=4.22163480e+01 V=6.72333875e+04
Corr_Energy     (0.000500)	          -8.82988803e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	3.96415001e+03	3.96415001e+03
Self_Energy     (0.000500)	-8.82631211e+04	-8.82631211e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.27480185e+02	2.27480185e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.14969474e+02	1.14969474e+02
far_exclusion   (0.000500)	8.87604879e+04	8.87604879e+04
far_terms       (0.000500)	3.46543376e+01	3.46543376e+01
nonbonded_elec  (0.000500)	-2.30907056e+04	-2.30907056e+04
nonbonded_vdw   (0.000500)	2.98673461e+03	2.98673461e+03
pair_elec       (0.000500)	-2.73354087e+03	-2.73354087e+03
pair_vdw        (0.000500)	3.03377237e+01	3.03377237e+01
stretch         (0.000500)	3.78741295e+01	3.78741295e+01
Total           (0.000500)	6.63682919e+04	6.63682919e+04
