time=0.000000 en=3.05741505e+04 E_p=-9.68376314e+03 E_k=1.81419166e+03 E_x=3.49170216e-01 P=2.20814916e+01 V=3.06278094e+04
Corr_Energy     (0.000000)	          -4.02579137e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.81419166e+03	1.81419166e+03
Self_Energy     (0.000000)	-4.02428013e+04	-4.02428013e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.52737423e+01	1.52737423e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	8.77076977e+00	8.77076977e+00
far_exclusion   (0.000000)	3.99356680e+04	3.99356680e+04
far_terms       (0.000000)	1.40365785e+01	1.40365785e+01
nonbonded_elec  (0.000000)	-1.08606277e+04	-1.08606277e+04
nonbonded_vdw   (0.000000)	1.47321436e+03	1.47321436e+03
pair_elec       (0.000000)	-1.72370100e+01	-1.72370100e+01
pair_vdw        (0.000000)	3.72753647e+00	3.72753647e+00
stretch         (0.000000)	1.32465079e+00	1.32465079e+00
Total           (0.000000)	3.05741510e+04	3.05741510e+04
time=0.000500 en=3.05735963e+04 E_p=-9.68431733e+03 E_k=1.81476192e+03 E_x=3.49170216e-01 P=-7.21388671e+00 V=3.06278094e+04
Corr_Energy     (0.000500)	          -4.02579137e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.81476192e+03	1.81476192e+03
Self_Energy     (0.000500)	-4.02428013e+04	-4.02428013e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.52180280e+01	1.52180280e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	8.84812805e+00	8.84812805e+00
far_exclusion   (0.000500)	3.99356827e+04	3.99356827e+04
far_terms       (0.000500)	1.38395539e+01	1.38395539e+01
nonbonded_elec  (0.000500)	-1.08618160e+04	-1.08618160e+04
nonbonded_vdw   (0.000500)	1.47370696e+03	1.47370696e+03
pair_elec       (0.000500)	-1.72579351e+01	-1.72579351e+01
pair_vdw        (0.000500)	3.70169409e+00	3.70169409e+00
stretch         (0.000500)	1.67327534e+00	1.67327534e+00
Total           (0.000500)	3.05735964e+04	3.05735964e+04
