time=0.000000 en=4.33712779e+04 E_p=-1.36804586e+04 E_k=2.51221838e+03 E_x=2.18454841e+00 P=-2.49316821e+02 V=4.34375952e+04
Corr_Energy     (0.000000)	          -5.70517365e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	2.51221838e+03	2.51221838e+03
Self_Energy     (0.000000)	-5.70303940e+04	-5.70303940e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.24823863e+01	2.24823863e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	2.30132897e+01	2.30132897e+01
far_exclusion   (0.000000)	5.65894291e+04	5.65894291e+04
far_terms       (0.000000)	2.59652216e+01	2.59652216e+01
nonbonded_elec  (0.000000)	-1.53098841e+04	-1.53098841e+04
nonbonded_vdw   (0.000000)	2.02727358e+03	2.02727358e+03
pair_elec       (0.000000)	-1.42112151e+01	-1.42112151e+01
pair_vdw        (0.000000)	4.12829352e+00	4.12829352e+00
stretch         (0.000000)	3.08118791e+00	3.08118791e+00
Total           (0.000000)	4.33712777e+04	4.33712777e+04
time=0.000500 en=4.33694666e+04 E_p=-1.36822698e+04 E_k=2.51403832e+03 E_x=2.18454841e+00 P=-2.51016682e+02 V=4.34375952e+04
Corr_Energy     (0.000500)	          -5.70517365e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	2.51403832e+03	2.51403832e+03
Self_Energy     (0.000500)	-5.70303940e+04	-5.70303940e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.22228804e+01	2.22228804e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	2.31155790e+01	2.31155790e+01
far_exclusion   (0.000500)	5.65894338e+04	5.65894338e+04
far_terms       (0.000500)	2.59692876e+01	2.59692876e+01
nonbonded_elec  (0.000500)	-1.53124632e+04	-1.53124632e+04
nonbonded_vdw   (0.000500)	2.02737135e+03	2.02737135e+03
pair_elec       (0.000500)	-1.42038865e+01	-1.42038865e+01
pair_vdw        (0.000500)	4.19156715e+00	4.19156715e+00
stretch         (0.000500)	3.82892737e+00	3.82892737e+00
Total           (0.000500)	4.33694663e+04	4.33694663e+04
